job_title,company_name,experience,salary,location,key_skills,about_company,job_descriptio
Python Developer Automation Distributed data Systems,Acesoft Labs (India) Pvt Ltd,3 - 8 years,Not Disclosed,"Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru, Mumbai (All Areas)View More","Key Skills
Distributed SystemAutomationpython developer
Distributed data System
Skills highlighted with ‘‘ are preferred keyskills","About Company
www.acesoftlabs.com","Roles and Responsibilities
- Experience using the programming language of Python
- 3+ years in python programming, specifically for systems automation.
- 1+ years of experience with Distributed data systems
- Previous experience working with geographically-distributed coworkers.
- Strong interpersonal communication skills (including listening, speaking, and writing) and ability to work well in a diverse, team-focused environment with other SREs, Engineers, Product Managers, etc.
- Knowledge of most of these: data structures, relational and non-relational databases, networking, Linux internals, filesystems, web architecture, and related topics.

Share Profile to Due to privacy it is removed it"
CGI - Openings For Python Developer,CGI Information Systems and Management Consultants       Private Limited4.2(2497 Reviews),3 - 5 years,Not Disclosed,"Hyderabad/Secunderabad, Bangalore/Bengaluru","Key Skills
PysparkpythonDjangoMySQLAWS
Skills highlighted with ‘‘ are preferred keyskills","About Company
Founded in 1976, CGI is among the largest IT and business consulting services firms in the world. Operating in hundreds of locations across the globe, CGI delivers end-to-end services and solutions, including strategic IT and business consulting, systems integration, intellectual property, and managed IT and business process services
Company Info
AddressE CITY,TOWER-2,95/1 95/2,ELECTRONIC CITY PHASE1, BANGALORE, Karnataka, India","Roles and Responsibilities
Works independently under limited supervision and applies knowledge of subject matter in Applications Development. Possess sufficient knowledge and skills to effectively deal with issues, challenges within field of specialization to develop simple applications solutions. Second level professional with direct impact on results and outcome.

Desired Candidate Profile
Experience: 3 to 5 yrs
locations : Hyderabad and Bangalore .
Primary Skills : Good experience in Python , AWS, Pyspark, Sql .
Notice period : Immediate to 30 Days Joiners


Perks and Benefits

It is an extraordinary time to be in business. As digital transformation continues to accelerate, CGI is at the center of this changesupporting our clients digital journeys and offering our professionals exciting career opportunities.
At CGI, our success comes from the talent and commitment of our professionals. As one team, we share the challenges and rewards that come from growing our company, which reinforces our culture of ownership. All of our professionals benefit from the value we collectively create.
Be part of building one of the largest independent technology and business services firms in the world.
Learn more about CGI at www.cgi.com.
No unsolicited agency referrals please.
CGI is an equal opportunity employer.


NOTE: Interested candidates please share your CVs to email: Due to privacy it is removed it"
Senior Python/Odoo Developer,RDP Workstations4.4(34 Reviews),3 - 6 years,"₹ 4,00,000 - 7,00,000 P.A.",Hyderabad/Secunderabad,"Key Skills
PostgresqlMaintenancesoftware development life cycleSoftware Developmentprogramming
Application Programminginformation technologyQwebWeb TechnologiesJquery UiSDLCanalyticsPython
Skills highlighted with ‘‘ are preferred keyskills","About Company
Please visit our website to know all about us & Please visit our career page to see if you can be part of our growing team.


www.rdp.in


www.rdp.in/jobs
Company Info
Websitehttps://rdp.in/
Address8-2-120/76/7/8, FLAT NO.403,4TH FLOOR,ASHOKA CAPIT, AL,OPP KBR PARK ROAD NO.3,BANJARA HILLS, Hyderabad, Telangana, India
Photos & Videos
Company Presentation","Special Note: Job Application will be considered ONLY if applied through the below Link:

https://www.rdp.in/jobs/detail/senior-python-odoo-developer-260


We are looking for a strong technocrat as Senior Python/Odoo Developer, who will be responsible for developing, implementing, customizing, and integrating Odoo ERP business applications with other systems, and providing ongoing support and future enrichment of those solutions to support business processes and functions. You'll be required to apply your depth of Odoo Framework, programming knowledge, and expertise to all aspects of the Software Development Lifecycle, propose the best technical solution by understanding business requirements from a techno functional aspect, and partner continuously with RDP stakeholders daily to stay focused on common goals. Youll work in a collaborative, trusting, thought provoking environment one that encourages diversity of thought and creative solutions that are in the best interests of the company.

Special Note: Job Application will be considered ONLY if applied through the below Link:

https://www.rdp.in/jobs/detail/senior-python-odoo-developer-260


Responsibilities:

Identifying and understanding requirements and proposing good alternative solutions.
Designing and developing Odoo apps (eg. new module development, customization).
Developing applications/features that affect day-to-day operations.
Ensuring the performance of apps is optimized.
Collect Needs and draft ERP application requirements - Design, Development and testing of Odoo (OpenERP) modules (HR, Payroll, Accounting, Inventory, CRM, DMS, etc), projects, products and interfaces.
Maintaining existing modules.
Complete and clear documentation for any task/work done.
Test new functions / modifications to existing application modules in accordance with application support.
Configuration, installation and maintenance of server and multi database Odoo environments
Excellent knowledge of web development languages (HTML, CSS, JavaScript, JQuery).
Knowledge of Python development frameworks & Linux system.



Special Note: Job Application will be considered ONLY if applied through the below Link:

https://www.rdp.in/jobs/detail/senior-python-odoo-developer-260


Requirements:

Should have a degree in Computer Science, Engineering, or a related field with at least 3-6 year of experience as an Odoo Developer.
Strong familiarity with the Odoo framework is mandatory.
Should have a solid knowledge of Python and programming concepts. Contribution for Open Source Projects will be advantageous.
You enjoy finding creative solutions to problems.
You have excellent analytical and problem-solving skills.
You are result-driven and thrive in fast-paced environments.


Special Note: Job Application will be considered ONLY if applied through the below Link:

https://www.rdp.in/jobs/detail/senior-python-odoo-developer-260


Benefits/ Compensation:

Salary - Best in the Industry.
Incentive - Best in the Industry.
 Medical Policy for the Candidate Family.
Career Growth.


Special Note: Job Application will be considered ONLY if applied through the below Link:

https://www.rdp.in/jobs/detail/senior-python-odoo-developer-260"
Network Python Developer,Prodapt Solutions3.8(362 Reviews),3 - 6 years,Not Disclosed,"Hyderabad/Secunderabad, Chennai, Bangalore/Bengaluru","Key Skills
Python
JenkinsNetworkingPython scriptingnetworking protocolsRobo FrameworkJiraBambooSQL
Skills highlighted with ‘‘ are preferred keyskills","About Company
Prodapt is a two-decade-old consulting & managed services provider, singularly focused on the telecom/DSP industry. Prodapt helps clients transform their IT, products, operations, and networks to meet their strategic objectives. Prodapt provides end-to-end IT/software architecture consulting, application development, systems integration, testing, and maintenance & support. Prodapt provides insights and thought leadership-led transformation services leveraging next-gen technologies such as Robotic Process Automation (RPA)), Artificial Intelligence/Machine Learning (AI/ML) Software Defined Networks / Network Function Virtualization (SDN/NFV) and next-gen OSS/BSS systems. Prodapt’s business consulting team provides Six Sigma process improvement and automation/RPA consulting services to telecom operations teams.
Company Info
Websitehttp://careers.prodapt.com","Roles and Responsibilities
Senior Python Developer responsibilities include participating in all phases of the software development lifecycle and coaching junior developers. If you are a seasoned developer with a love for back-end technologies, we'd like to meet you. Your ultimate goal is to create high-quality products that meet customer needs.


Desired Candidate Profile
Candidate with minimum 4 years of Strong experience in Python scripting + Networking.
Strong understanding of networking protocols - TCP/IP, FTP, HTTP/SSL,HTTP
Good to have experience in writing automation of test cases using PyATS,PyTest or Robo Framework
Knowledge with Jenkins, Jira, Bamboo or other CI orchestration systems
Working knowledge of Java & Backend SQL
knowledge in Web security or web gateway product domain experience"
Software Developer - Java/C++/Python,Rishyaa Digicorp,0 - 5 years,Not Disclosed,"Hyderabad/Secunderabad, Bangalore/Bengaluru, Delhi NCR","Key Skills
programming languagelogical and analytical abilitycommunication skills
Oracle DBJavaC++DevOpsC.NetPython
Skills highlighted with ‘‘ are preferred keyskills","About Company
Rishyaa Digicorp
Company Info
Address.","Description : The skills required as a graduate/trainee in IT will vary depending on your chosen area, but we are looking for you to have :

- Problem-solving skills

- Up-to-date knowledge of technologies

- Good organizational and time management skills

- For programming, knowledge of one or more programming languages relevant to the role

- Some may require experience with database management systems

- An ability to work to deadlines

- A good eye for detail

- Willing to work in Hyderabad/Visakhapatnam

- Willing to learn new tools and techniques

Eligibility : All B.Tech graduates can attend the interview if they can demonstrate an interest in IT, but a relevant degree or qualification would help. This could be in computer science, information technology, computer engineering or information system management.

Skills : C, C++, java, dot net, Python, Linux, DevOps, Oracle, DB, Microsoft tools, frontend, UI, UX, android, ios"
Tcs is Hiring For Python Developer Role,TATA CONSULTANCY SERVICES (TCS)3.9(45319 Reviews),3 - 8 years,Not Disclosed,"Kolkata, Hyderabad/Secunderabad, Pune, Ahmedabad, Chennai, Bangalore/Bengaluru, Delhi / NCR, Mumbai (All Areas)View More","Key Skills
python
jenkinsjira
Skills highlighted with ‘‘ are preferred keyskills","About Company
Tata Consultancy Services Ltd.","TCS has been a great pioneer in feeding the fire of young techies like you. We are a global leader in the technology arena and theres nothing that can stop us from growing together.
What we are looking for
Experience Range:4 - 10 Years
Location: PAN India
Must-Have:
Project experience in development using Python language script
Hands on experience in debugging and performing data analysis.
Must have complete understanding of Object Oriented Programming.
Good To Have :
Knowledge of Agile and tools like JIRA, Jenkins
Knowledge of Insurance domain (Annuities)
Worked on CI/CD implementation
Worked on a version control tool
Exposure to SQL
Responsibilities
Should be able to handle end to end delivery for Python Deliverables.
Extensive experience in advanced Python
Ability to create Data interfaces using Python language
Should have worked on advanced concepts of Python implementations
Should be able to identify/suggest Performance improvements
Experience of working directly with IT and Business stakeholders
Experience in requirement gathering, designing and solutioning
Ability to handle a team of 4-6 Python developers and manage technical delivery
Minimum Qualification and Certifications:
BE/B.sc"
Tcs IS Hiring Python Developers For PAN India Location,TATA CONSULTANCY SERVICES (TCS)3.9(45319 Reviews),1 - 6 years,"₹ 3,00,000 - 8,00,000 P.A.","Kolkata, Hyderabad/Secunderabad, Pune, Ahmedabad, Chennai, Bangalore/Bengaluru, Delhi / NCR, Mumbai (All Areas), IndiaView More","Key Skills
Python DevelopmentPython","About Company
TCS
Company Info
AddressVoltas Compound, Yantra Park, Voltas Compound,, Yantra Park Unit no. 6, Pokhran Road No.2,, Thane West, Thane, THANE, Maharashtra, India","Job description

Job Details
Job Title: Python Developer
Location: PAN India
Experience Range: 1 - 6 Years

Job Description
TCS has always been in the spotlight for being adept in the next big technologies. What we an offer you is a space to explore varied technologies and quench your techie soul.

Must have:
Python
Experience on Data science and AI/ML Modelling
Experience on data pipeline building
A demonstrated end to end project experience
Experience on GCP Cloud and Cloud services

Good to have:
Big Query
Agile methodology experience
Skills on DevOps and building CI/CD pipelines"
Python Developer,TATA CONSULTANCY SERVICES (TCS)3.9(45319 Reviews),3 - 7 years,Not Disclosed,"Hyderabad/Secunderabad, Pune, Bangalore/Bengaluru","Key Skills
OOPSPython","About Company
If interested kindly share you cv to mahajanmadhuri.kailas@tcs.com only JD matches to your profile.
Company Info
AddressVoltas Compound, Yantra Park, Voltas Compound,, Yantra Park Unit no. 6, Pokhran Road No.2,, Thane West, Thane, THANE, Maharashtra, India","Python Developer-
Experience -3 to 6yr
Location-PAN India

JavaScripting or any scripting
Telecom experience preferred
Understanding of code versioning tools, such as Git
Understanding of Agile - SCRUM methodologies
Work experience on Python development
Core Java or any Object Oriented programing language

Education:
15 years of regular/Full time education
.Minimum percent of 50% in all academics.

If interested kindly share you cv to Due to privacy it is removed it only JD matches to your profile.
Kindly share your below details.
Total experience:
Relevant experience:
Current Location:
Preferred Location:
Current Organization:
Current CTC:
Expecting CTC:
If Holding any Offers:
Qualification & Passed out Year:
Notice period:.
Gaps if any more than 2 years:"
Python / GoLang Backend Developer | 3-10 Years| Hyderabad & Bangalore,Capgemini3.9(21970 Reviews),3 - 8 years,Not Disclosed,"Hyderabad/Secunderabad, Bangalore/Bengaluru","Key Skills
GolangAzureLinuxPythonRESTful
Cloud
Skills highlighted with ‘‘ are preferred keyskills","About Company
About Capgemini -


Capgemini is a global leader in partnering with companies to transform and manage their business by harnessing the power of technology. The Group is guided everyday by its purpose of unleashing human energy through technology for an inclusive and sustainable future. It is a responsible and diverse organization of over 300,000 team members in nearly 50 countries. With its strong 50-year heritage and deep industry expertise, Capgemini is trusted by its clients to address the entire breadth of their business needs, from strategy and design to operations, fueled by the fast evolving and innovative world of cloud, data, AI, connectivity, software, digital engineering and platforms. The Group reported in 2020 global revenues of ‚16 billion.
Get The Future You Want | www.capgemini.com


Capgemini in India comprises over 150,000 team members working across 13 locations: Bangalore, Bhubaneswar, Chennai, Coimbatore, Gandhinagar, Gurugram, Hyderabad, Kolkata, Mumbai, Noida, Pune, Salem and Tiruchirappalli. Learn more about Capgemini in India at www.capgemini.com/in-en.
Company Info
AddressAiroli Knowledge Park, TTC Industrial Area Thane-Belapur Road, Airoli, NAVI MUMBAI, Maharashtra, India","Requirement: Python / GoLang Backend Developer
No Of Positions: 6
Years of Exp: 3 to 10 years

Job Description:
5+ yrs experience:
GOLANG (or strong in python)
RESTful Applications
Kuberenets
Web MicroServices
Virtualization (for SB-PVM)
Shell Scripting
Azure
Linux/Unix

Preferred:
Multi-threaded parallel processing
Cloud services / Micro-services
Cloud tools: Docker, Kubernetes, git, gerrit, Jenkins
Hashicorp Terraform (for SB)
IBM Cloud
SQL and NOSQL""

Locations: Hyderabad/ Bangalore"
NA,NA,NA,NA,NA,NA,NA,NA
